id,name
ggm0001,Anonymous
stoa0033a,pseudo-Aristotle
stoa0121,Eutropius
stoa0146d,Hegemonius
tlg0003,tlg0003
tlg0006,tlg0006
tlg0007,tlg0007
tlg0008,tlg0008
tlg0010,tlg0010
tlg0014,tlg0014
tlg0015,Herodian
tlg0016,tlg0016
tlg0018,Philo Judaeus
tlg0019,tlg0019
tlg0028,tlg0028
tlg0031,tlg0031
tlg0032,tlg0032
tlg0033,tlg0033
tlg0057,Galen
tlg0059,Plato
tlg0060,tlg0060
tlg0062,Lucian of Samosata
tlg0064,Hanno
tlg0065,Scylax
tlg0066,Ps. Dicaearchus
tlg0067,Agatharchides
tlg0070,Isidorus Characenus
tlg0071,Pseudo Arrianus
tlg0074,tlg0074
tlg0075,Pseudo-Arrianus
tlg0077,Anonymous
tlg0082,"Apollonius, Dyscolus"
tlg0083,Dionysius of Byzantium
tlg0085,Aeschylus
tlg0086,Aristotle
tlg0087,Herodianus
tlg0088,Aristoxenus
tlg0090,Agathemerus
tlg0092,Anonymous
tlg0093,Theophrastus
tlg0094,Pseudo-Plutarch
tlg0096,Aesop
tlg0099,Strabo
tlg0358,Nichomachus of Gerasa
tlg0361,Cleonides
tlg0362,Carmina Delphis Inventa
tlg0363,Claudius Ptolemaeus
tlg0525,tlg0525
tlg0527,Septuaginta
tlg0530,pseudo-Galen
tlg0540,tlg0540
tlg0543,tlg0543
tlg0544,Sextus Empiricus
tlg0548,tlg0548
tlg0551,tlg0551
tlg0553,Artemidorus
tlg0554,tlg0554
tlg0555,Clement of Alexandria
tlg0561,tlg0561
tlg0563,Maximus of Tyre
tlg0565,Soranus
tlg0591,Antisthenes
tlg0592,Hermogenes
tlg0593,Gorgias of Leontini
tlg0610,Alcidamas
tlg0612,tlg0612
tlg0614,Babrius
tlg0615,tlg0615
tlg0616,Polyaenus
tlg0627,Hippocrates
tlg0640,Alciphron
tlg0643,Hermannus Diels
tlg0644,Aristophanes of Byzantium
tlg0645,Justinus Martyr
tlg0646,Pseudo-Justinus Martyr
tlg0658,Heliodorus of Emesa
tlg0671,Philumenus
tlg0708,Ammonius Grammaticus
tlg0731,Adamantius Judaeus
tlg0732,Alexander of Aphrodisias
tlg0751,pseudo-Hippocrates
tlg1126,Anubion
tlg1205,Athenagoras
tlg1210,Autolycus
tlg1216,Barnabas
tlg1252,tlg1252
tlg1271,Clemens Romanus
tlg1272,Cleomedes
tlg1311,Anonymus
tlg1337,Dorotheus of Sidon
tlg1389,tlg1389
tlg1409,Heraclides Ponticus
tlg1419,"Hermas, 2nd cent."
tlg1431,Hipparchus
tlg1443,Ignatius Antiochenus
tlg1447,Irenaeus
tlg1463,Liber Enoch
tlg1484,tlg1484
tlg1487,"Maximus, Astrologus"
tlg1551,Oracula Sibyllina
tlg1595,Philodemus
tlg1600,tlg1600
tlg1622,Polycarp
tlg1701,Testamentum Abrahamae
tlg1724,Theon Smyrnaeus
tlg1725,Theophilus Antiochenus
tlg1765,Vitae Aesopi
tlg1766,Tatianus
tlg1799,Euclid
tlg2000,Plotinus
tlg2001,Themistius
tlg2018,Eusebius
tlg2021,Epiphanius
tlg2022,Gregorius Nazianzenus
tlg2023,Iamblichus
tlg2029,Anonymous
tlg2034,Porphyrius
tlg2035,Athanasius of Alexandria
tlg2036,Dexippus
tlg2039,Diophantus Alexandrinus
tlg2041,Marcellus
tlg2042,Origenes
tlg2048,"Sozomenus, Salaminius Hermias"
tlg2050,Eunapius
tlg2057,"Socrates, Scholasticus"
tlg2058,Philostorgius
tlg2115,Hippolytus
tlg2135,Alypius
tlg2136,Bacchius Geron
tlg2137,Gaudentius
tlg2138,Canticum Euripidis
tlg2139,Epitaphium Sicili
tlg2200,Libanius
tlg2233,Pseudo-Polemon
tlg2371,Chronicon Paschale
tlg2703,Annae Comnenae
tlg2733,"Evagrius, Scholasticus"
tlg2768,Gelasius
tlg2806,Marcus Diaconus
tlg2959,Methodius
tlg3118,Syntipas
tlg3129,Theophylacti
tlg3135,Joannes Zonaras
tlg3156,Anonymi Exegesis in Hesiodi Theogoniam
tlg4003,Marcianus of Heraclea
tlg4013,Simplicius
tlg4015,Joannes Philoponus
tlg4016,Ammonius
tlg4017,Syrianus
tlg4018,Asclepius
tlg4019,Olympiodorus
tlg4020,Elias
tlg4021,David the Invincible
tlg4024,Agathias Scholasticus
tlg4027,Anonymi in Aristotelis Categorias
tlg4030,Sophonias
tlg4031,Eustratius
tlg4033,Anonymi In Aristotelis Ethica Nicomachea
tlg4034,Michael Ephesius
tlg4036,Proclus Diadochus
tlg4075,Marinus
tlg4084,Zosimus
tlg4089,"Theodoret, Bishop of Cyrus"
tlg4090,Cyrillus Alexandrinus
tlg4102,Catenae (Novum Testamentum)
tlg4170,Vitae Pindari et varia de Pindaro
tlg4193,Anonymi in Aristotelis Sophisticos Elenchos
tlg5022,Scholia in Euclidem
tlg5023,Scholia Euripidem
tlg5026,Scholia in Homerum
tlg5034,Pindar Scholia
tlg9004,Anonymi In Aristotelis Librum Alterum Analyticorum Posteriorum
tlg9006,tlg9006
tlg9019,Stephanus of Alexandria
